,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
916,4d bot 5c bot,Ts mid Js mid,KdKhAh-AdAc-,KdKhAh-AdAc-4d5c,KdKhAh-AdAcTsJs-4d5c,4d 6d 5c ,9h Ts Js ,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,23.0,0.0,7.0,4d bot 6d bot,1.0806666666666658,9h mid Js mid,0.03599999999999959
917,7d bot 4s bot,4d bot Td mid,KdKhAh-AdAc-,KdKhAh-AdAc-7d4s,KdKhAh-AdAcTd-7d4s4d,7d Jc 4s ,2d 4d Td ,29.0,23.0,0.0,0.0,23.0,23.0,0.0,23.0,23.0,23.0,16.0,7d bot 4s bot,0.0,4d bot Td mid,0.0
918,4c bot 8s bot,2d mid 6s bot,KdKhAh-AdAc-,KdKhAh-AdAc-4c8s,KdKhAh-AdAc2d-4c8s6s,4c Qc 8s ,2d Qd 6s ,0.0,0.0,0.0,0.0,23.0,23.0,0.0,23.0,0.0,25.0,9.0,4c bot Qc bot,1.4966666666666661,2d mid 6s bot,0.0
919,9d bot Jc bot,3h mid Js bot,KdKhAh-AdAc-,KdKhAh-AdAc-9dJc,KdKhAh-AdAc3h-9dJcJs,4d 9d Jc ,3h 4s Js ,23.0,0.0,0.0,29.0,23.0,23.0,23.0,0.0,29.0,23.0,17.0,9d bot Jc bot,0.0,4s mid Js bot,0.05966666666666853
920,9s bot Ts bot,Kc mid Th bot,KdKhAh-AdAc-,KdKhAh-AdAc-9sTs,KdKhAh-AdAcKc-9sTsTh,4s 9s Ts ,8c Kc Th ,31.0,29.0,23.0,23.0,23.0,23.0,29.0,23.0,23.0,23.0,25.0,9s bot Ts bot,0.0,Kc mid Th bot,0.0
921,Qd bot 2h bot,7d mid 8c mid,KdKhAh-AdAc-,KdKhAh-AdAc-Qd2h,KdKhAh-AdAc7d8c-Qd2h,Qd Jc 2h ,4d 7d 8c ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,2.0,Qd bot Jc bot,1.1366666666666667,4d bot 8c mid,0.71
922,7c bot 8h bot,5h bot 6s bot,KdKhAh-AdAc-,KdKhAh-AdAc-7c8h,KdKhAh-AdAc-7c8h5h6s,7c 8h 3s ,Qd 5h 6s ,25.0,25.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,22.0,7c bot 8h bot,0.0,5h bot 6s bot,0.0
923,9d bot Jc bot,9c bot 6s mid,KdKhAh-AdAc-,KdKhAh-AdAc-9dJc,KdKhAh-AdAc6s-9dJc9c,9d Jc 8s ,Qd 9c 6s ,23.0,0.0,0.0,23.0,23.0,29.0,23.0,29.0,0.0,23.0,17.0,9d bot 8s bot,0.9640000000000004,9c bot 6s mid,0.0
924,4h bot 5h bot,8h bot 8s bot,KdKhAh-AdAc-,KdKhAh-AdAc-4h5h,KdKhAh-AdAc-4h5h8h8s,Qd 4h 5h ,8h 8s Qs ,23.0,23.0,23.0,0.0,23.0,23.0,23.0,23.0,23.0,23.0,20.0,4h bot 5h bot,0.0,8h bot 8s bot,0.0
925,2h bot 5h bot,2d bot 4s mid,KdKhAh-AdAc-,KdKhAh-AdAc-2h5h,KdKhAh-AdAc4s-2h5h2d,2h 5h Js ,2d 4c 4s ,23.0,23.0,23.0,23.0,23.0,23.0,23.0,29.0,23.0,0.0,21.0,2h bot 5h bot,0.0,2d bot 4c mid,0.0
926,Jd bot Js bot,2c mid 8h bot,KdKhAh-AdAc-,KdKhAh-AdAc-JdJs,KdKhAh-AdAc2c-JdJs8h,5d Jd Js ,2c 8h As ,23.0,0.0,23.0,0.0,23.0,23.0,23.0,23.0,23.0,23.0,18.0,Jd bot Js bot,0.0,2c mid 8h bot,0.0
927,Jd bot Tc bot,Td bot 9h mid,KdKhAh-AdAc-,KdKhAh-AdAc-JdTc,KdKhAh-AdAc9h-JdTcTd,Jd 5c Tc ,Td 2h 9h ,23.0,23.0,23.0,23.0,0.0,0.0,0.0,29.0,23.0,23.0,16.0,5c bot Tc bot,0.5679999999999996,Td bot 9h mid,0.0
928,3s bot 8s bot,8c bot 9c mid,KdKhAh-AdAc-,KdKhAh-AdAc-3s8s,KdKhAh-AdAc9c-3s8s8c,3s 6s 8s ,5d 8c 9c ,0.0,29.0,23.0,23.0,0.0,29.0,23.0,23.0,23.0,29.0,20.0,6s bot 8s bot,1.1053333333333342,5d mid 8c bot,0.054999999999999716
929,2d bot Kc mid,Jd bot 4h mid,KdKhAh-AdAc-,KdKhAh-AdAcKc-2d,KdKhAh-AdAcKc4h-2dJd,2d 9c Kc ,Jd 4h 7s ,23.0,0.0,23.0,0.0,0.0,0.0,23.0,23.0,0.0,23.0,11.0,9c bot Kc mid,0.745333333333333,Jd bot 7s bot,0.3906666666666663
930,6s bot 9s bot,9c bot Kc mid,KdKhAh-AdAc-,KdKhAh-AdAc-6s9s,KdKhAh-AdAcKc-6s9s9c,Qh 6s 9s ,9c Kc 3s ,0.0,23.0,23.0,23.0,23.0,0.0,23.0,23.0,23.0,0.0,16.0,6s bot 9s bot,0.0,9c bot Kc mid,0.0
931,8h bot Js bot,Td bot 7h bot,KdKhAh-AdAc-,KdKhAh-AdAc-8hJs,KdKhAh-AdAc-8hJsTd7h,8h 5s Js ,Td 7h Ks ,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,10.0,5s bot Js bot,1.344666666666667,Td bot 7h bot,0.0
932,4s bot 7s bot,Td mid 6c mid,KdKhAh-AdAc-,KdKhAh-AdAc-4s7s,KdKhAh-AdAcTd6c-4s7s,Tc 4s 7s ,Td 6c 8h ,23.0,23.0,27.0,0.0,23.0,0.0,27.0,0.0,23.0,0.0,14.0,4s bot 7s bot,0.0,6c bot 8h bot,2.653666666666668
933,3c bot 7h bot,3d bot Ks mid,KdKhAh-AdAc-,KdKhAh-AdAc-3c7h,KdKhAh-AdAcKs-3c7h3d,3c Qc 7h ,3d 9c Ks ,23.0,23.0,23.0,0.0,23.0,29.0,0.0,0.0,23.0,0.0,14.0,3c bot Qc bot,1.4553333333333338,3d bot Ks mid,0.0
934,4d bot 4s bot,8d bot 8c bot,KdKhAh-AdAc-,KdKhAh-AdAc-4d4s,KdKhAh-AdAc-4d4s8d8c,4d 4s Qs ,8d 5c 8c ,23.0,23.0,23.0,29.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,4d bot 4s bot,0.0,8d bot 8c bot,0.0
935,4c bot 4h bot,7d bot Jc mid,KdKhAh-AdAc-,KdKhAh-AdAc-4c4h,KdKhAh-AdAcJc-4c4h7d,8d 4c 4h ,7d Jc As ,0.0,0.0,0.0,0.0,23.0,23.0,29.0,23.0,0.0,23.0,12.0,4c bot 4h bot,0.0,7d mid Jc bot,0.09833333333333272
936,5d bot Ts bot,Jd bot 4s mid,KdKhAh-AdAc-,KdKhAh-AdAc-5dTs,KdKhAh-AdAc4s-5dTsJd,5d 3c Ts ,Jd 4s As ,0.0,0.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,6.0,5d bot 3c bot,1.5793333333333326,Jd bot 4s mid,0.0
937,7d mid Qs bot,8d bot 9c bot,KdKhAh-AdAc-,KdKhAh-AdAc7d-Qs,KdKhAh-AdAc7d-Qs8d9c,7d 4h Qs ,8d 7c 9c ,23.0,0.0,23.0,23.0,0.0,0.0,23.0,0.0,23.0,0.0,11.0,7d bot 4h bot,1.3719999999999999,8d bot 9c bot,0.0
938,9c bot Tc bot,8d mid 8h bot,KdKhAh-AdAc-,KdKhAh-AdAc-9cTc,KdKhAh-AdAc8d-9cTc8h,9c Tc Qs ,8d 8h 3s ,23.0,0.0,0.0,23.0,25.0,25.0,0.0,0.0,0.0,25.0,12.0,9c bot Tc bot,0.0,8d bot 8h bot,3.8070000000000004
